Tenant_ID,Tenant_Name,Email,Phone,Lease_ID,Property_Name,Unit_Number,Lease_Start,Lease_End,Monthly_Rent,Arrears_Amount,Due_Date,Property_Address,City,State,Country,Postal_Code,Payment_Method,Transaction_Status,Days_Overdue
TEN1000,Nathaniel Walker,hparker@anderson.org,(329)584-6737x205,LEASE500,"Mcconnell, Andrews and Harris",Unit 41,2022-11-15,2026-01-11,2998.55,3775.28,2025-04-07,"55147 Karen Dam Suite 179, Parkerborough, AL 01901",Gabrielaport,Michigan,Mayotte,41641,Bank Transfer,Completed,45
TEN1006,Peter Booth,jessicalewis@adams.net,+1-282-125-9670x3917,LEASE506,Garcia Group,Unit 64,2022-07-15,2028-05-10,1022.34,1881.43,2025-03-11,"4820 Jones Passage Suite 280, Danielside, CA 97662",West Randymouth,South Dakota,Belarus,6556,Standing Order,In Arrears,72
TEN1010,Michael Frazier,lisayoung@gmail.com,(763)748-1639,LEASE510,"Church, Henderson and Cochran",Unit 78,2021-11-22,2027-09-10,641.92,670.48,2025-04-06,"64806 Bailey Tunnel, Stricklandbury, GA 28092",East Jason,North Dakota,Tanzania,60582,Bank Transfer,In Arrears,46
TEN1016,Gary Perry,maureenmorris@gmail.com,(484)470-6603x4350,LEASE516,Williams-Valentine,Unit 65,2021-08-07,2025-06-20,1200.24,2584.16,2025-04-09,"8702 Scott Parkway Suite 096, Lambhaven, AK 76585",Burchview,New Jersey,Grenada,85246,Credit Card,Failed,43
TEN1026,Barbara Baxter,fernando31@yahoo.com,1503481127,LEASE526,"Trujillo, Gibbs and Greene",Unit 88,2021-08-23,2025-08-13,1211.66,3233.0,2025-03-17,"7262 Johnson Burg Suite 847, Monicastad, MS 26459",Lake Tamiberg,Alaska,Aruba,57057,Cash,Failed,66
TEN1027,Sandra Shah,perkinsbrandon@gmail.com,8364455649,LEASE527,Phillips-Young,Unit 42,2022-05-12,2025-05-22,2583.55,812.3,2025-04-02,"289 William Rest, West Jenniferborough, CT 27598",West Danielton,New Hampshire,Dominica,24791,Cash,Completed,50
TEN1034,Crystal Stewart,hamptonalexander@hotmail.com,001-269-848-0621x826,LEASE534,"Austin, Shaffer and Martin",Unit 4,2021-08-09,2026-03-31,2917.83,2693.29,2025-03-18,"525 Kimberly Alley, Dylanside, OH 74532",Whiteheadport,Kansas,Samoa,8203,Credit Card,Failed,65
TEN1052,Christine Miller,sarahwolfe@ingram-reese.net,001-658-559-3298x319,LEASE552,Oconnor-Perez,Unit 53,2023-06-09,2028-01-19,1489.76,2871.36,2025-03-26,"161 Matthew Plaza Suite 404, South Adrianmouth, NH 66275",East Luis,Utah,Mali,61751,Cash,Failed,57
TEN1055,John Smith,hobbsmichael@lowe-moon.info,604.581.3802x013,LEASE555,Kidd LLC,Unit 36,2020-08-25,2028-01-02,2387.77,1695.71,2025-04-05,"576 Dean Crossroad, Davidberg, UT 05091",West Jason,Kentucky,Pitcairn Islands,19553,Cash,Pending,47
TEN1066,Joshua Edwards Jr.,jarvisdiane@allen.net,4657294395,LEASE566,Henderson Group,Unit 14,2023-10-29,2025-09-16,2767.52,3534.25,2025-02-22,"3756 Tonya Crest, Kennethfurt, TX 88768",Lake Johnchester,South Carolina,Belgium,13857,Standing Order,Completed,89
TEN1073,Marc Lopez,elizabethmacias@hotmail.com,328.658.2856x1217,LEASE573,Riley-Schmidt,Unit 13,2022-08-06,2025-07-15,1652.58,2904.43,2025-03-19,"575 Stout Camp, Castanedachester, NH 83870",Penningtonview,Mississippi,Sao Tome and Principe,20385,Cash,Completed,64
TEN1074,Hailey Gutierrez,wsims@green-rivera.biz,809.260.1774x89286,LEASE574,Livingston-Carter,Unit 40,2023-05-12,2027-12-31,781.09,1939.74,2025-04-02,"3940 Sherry Port Suite 687, East Lancechester, IA 74460",Avilaberg,Indiana,Holy See (Vatican City State),39482,Cash,Completed,50
TEN1089,Michael Fox,rwood@gmail.com,(485)180-6591,LEASE589,"Norton, Ramos and Parks",Unit 36,2024-02-24,2026-01-10,642.41,1277.9,2025-03-26,"0083 Sean Fields, South Richard, DC 67666",Lake Lauren,New York,Macao,22790,Bank Transfer,Pending,57
TEN1107,Mary Monroe,dwilson@gmail.com,(033)383-2283x0689,LEASE607,Rowe-Smith,Unit 97,2024-04-11,2025-10-27,755.16,898.9,2025-03-12,"9291 Weaver Pike, New Matthewville, NE 24700",Lisaburgh,Pennsylvania,Saint Pierre and Miquelon,87316,Cash,In Arrears,71
TEN1112,Angela Phillips,natalie27@lawrence-zuniga.info,001-840-599-6186x8804,LEASE612,"Figueroa, Barnes and Newton",Unit 59,2021-08-06,2026-10-05,2108.38,796.14,2025-04-10,"332 Crawford Way Apt. 495, Cynthiachester, VT 67534",New Jason,Tennessee,French Polynesia,3896,Cash,Pending,42
TEN1121,Nicole Wade,meghanstanley@yahoo.com,(693)428-6086,LEASE621,Moreno PLC,Unit 71,2024-03-23,2028-01-29,1681.7,3594.27,2025-04-17,"1423 Williamson Key, Parksmouth, DC 83955",Lake Amandachester,Wisconsin,Solomon Islands,48208,Standing Order,Completed,35
TEN1127,Nicole Mitchell,zmcpherson@hotmail.com,+1-540-922-1208x5890,LEASE627,"Dawson, Stone and Martinez",Unit 3,2022-03-10,2027-02-06,2196.84,2931.38,2025-02-23,"7161 Susan Circles Apt. 783, East Nathanville, SD 21126",East Waynechester,Utah,Jamaica,65699,Cash,Pending,88
TEN1140,Walter Kelly,robin13@johnson.com,396.989.4937,LEASE640,Berg-Martinez,Unit 21,2022-07-29,2027-06-21,1848.78,3076.79,2025-02-27,"69996 Fitzpatrick Canyon Suite 091, West Toni, AL 53619",Hernandezmouth,Alabama,Belgium,91135,Standing Order,Pending,84
TEN1141,Justin Mcdaniel,gaguirre@pierce.com,001-516-413-8818x383,LEASE641,Thomas-Sanchez,Unit 71,2020-08-30,2027-06-23,2620.75,877.22,2025-04-11,"30767 Rodriguez Turnpike Apt. 311, Beckerton, IA 40229",Perezbury,Washington,Slovakia (Slovak Republic),53276,Bank Transfer,In Arrears,41
TEN1145,Tracy Burns,jamesjones@hotmail.com,(105)821-6236x643,LEASE645,"Murphy, Lindsey and Lara",Unit 10,2022-08-21,2026-03-13,1249.08,2170.57,2025-04-14,"451 Baker Pine, Josephberg, SD 79690",Taylorfurt,Indiana,Gambia,21779,Credit Card,Failed,38
